İlanNo,Lokasyon,m²(Brüt),m²(Net),OdaSayısı,BinaYaşı,BulunduğuKat,KatSayısı,Isıtma,BanyoSayısı,Balkon,Eşyalı,KullanımDurumu,Siteİçerisinde,Aidat(TL),Depozito(TL),Kimden,Fiyat
928153217,İstanbul/Pendik/EsenyalıMh.,90,90,2+1,1,4,4,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,1.250,EmlakOfisinden,1250
920194341,İstanbul/Kadıköy/CaferağaMh.,70,65,1+1,31veüzeri,1,4,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,Belirtilmemiş,5.000,EmlakOfisinden,3000
928154041,İstanbul/Esenler/TurgutReisMah.,110,100,2+1,21-25arası,1,5,DoğalgazSobası,1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,1600
928140961,İstanbul/Tuzla/ŞifaMh.,85,70,2+1,0,6,10,Merkezi,1,Var,Hayır,Boş,Hayır,70,1.400,Sahibinden,1400
928152616,İstanbul/Eyüpsultan/GüzeltepeMh.,104,64,2+1,0,6,8,Merkezi(PayÖlçer),2,Var,Hayır,Boş,Evet,Belirtilmemiş,10.000,EmlakOfisinden,5000
928140961,İstanbul/Tuzla/ŞifaMh.,85,70,2+1,0,6,10,Merkezi,1,Var,Hayır,Boş,Hayır,70,1.400,Sahibinden,1400
928152616,İstanbul/Eyüpsultan/GüzeltepeMh.,104,64,2+1,0,6,8,Merkezi(PayÖlçer),2,Var,Hayır,Boş,Evet,Belirtilmemiş,10.000,EmlakOfisinden,5000
928148154,İstanbul/Bakırköy/ŞenlikköyMh.,250,210,5+1,11-15arası,1,3,Doğalgaz(Kombi),3,Var,Belirtilmemiş,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,11000
928143023,İstanbul/Bahçelievler/HürriyetMh.,120,100,2+1,2,Kot1,5,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Sahibinden,3500
928149885,İstanbul/Kağıthane/ÇeliktepeMh.,150,140,4+1,4,4,4,Doğalgaz(Kombi),2,Var,Hayır,Kiracılı,Hayır,50,3.500,EmlakOfisinden,3500
928150890,İstanbul/Bahçelievler/SoğanlıMh.,85,80,2+1,31veüzeri,3,4,Doğalgaz(Kombi),1,Var,Belirtilmemiş,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,2000
915916272,İstanbul/Beylikdüzü/CumhuriyetMah.,174,125,3+1,4,1,12,Merkezi(PayÖlçer),2,Var,Hayır,Boş,Evet,340,3.500,EmlakOfisinden,3900
928147893,İstanbul/Pendik/DoğuMh.,125,80,2+1,4,1,12,Merkezi(PayÖlçer),2,Var,Hayır,Boş,Evet,340,2.850,EmlakOfisinden,2850
928145499,İstanbul/Beyoğlu/HacıahmetMh.,65,55,1+1,0,1,9,Merkezi(PayÖlçer),1,Var,Evet,Boş,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,10000
928142286,İstanbul/Tuzla/AydıntepeMh.,60,45,1+1,5-10arası,Kot1,10,Merkezi(PayÖlçer),1,Yok,Evet,Boş,Evet,Belirtilmemiş,Belirtilmemiş,Sahibinden,2000
891186791,İstanbul/Tuzla/AydınlıMh.,105,85,2+1,4,2,5,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,60,1.000,EmlakOfisinden,1150
922735235,İstanbul/Şişli/KaptanPaşaMh.,145,125,3+1,5-10arası,11,15,Merkezi(PayÖlçer),3,Var,Hayır,Boş,Evet,950,Belirtilmemiş,EmlakOfisinden,8750
928130189,İstanbul/Küçükçekmece/CennetMah.,130,120,3+1,16-20arası,1,7,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,50,3.000,Sahibinden,3000
928147629,İstanbul/Pendik/YenişehirMh.,119,100,3+1,0,6,10,Merkezi(PayÖlçer),2,Var,Hayır,Boş,Evet,650,Belirtilmemiş,EmlakOfisinden,3600
928148150,İstanbul/Beylikdüzü/KavaklıMh.,85,80,1+1,4,1,4,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,50,4.000,EmlakOfisinden,2000
928146545,İstanbul/Büyükçekmece/GüzelceMh.,75,50,1+1,26-30arası,1,1,Yok,1,Var,Hayır,Boş,Hayır,Belirtilmemiş,1.500,EmlakOfisinden,900
850449772,İstanbul/Ataşehir/KayışdağıMh.,60,50,1+1,5-10arası,2,3,Doğalgaz(Kombi),1,Yok,Evet,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,1750
928144341,İstanbul/Sancaktepe/AbdurrahmangaziMah.,55,33,Stüdyo(1+0),5-10arası,6,11,Merkezi(PayÖlçer),1,Yok,Hayır,Boş,Evet,390,2.400,EmlakOfisinden,1200
660373307,İstanbul/Beylikdüzü/CumhuriyetMah.,140,95,3+1,0,22,30veüzeri,Merkezi(PayÖlçer),2,Yok,Hayır,Boş,Evet,340,Belirtilmemiş,EmlakOfisinden,3000
660373307,İstanbul/Beylikdüzü/CumhuriyetMah.,140,95,3+1,0,22,30veüzeri,Merkezi(PayÖlçer),2,Yok,Hayır,Boş,Evet,340,Belirtilmemiş,EmlakOfisinden,3000
928137067,İstanbul/Pendik/KaynarcaMah.,110,85,2+1,11-15arası,6,6,Doğalgaz(Kombi),1,Var,Evet,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Sahibinden,1800
928140839,İstanbul/Bağcılar/YıldıztepeMh.,98,90,2+1,5-10arası,3,4,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,35,2.000,Sahibinden,1800
928144873,İstanbul/Ümraniye/ÇakmakMh.,100,90,2+1,16-20arası,5,5,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,50,1.350,EmlakOfisinden,1350
903455562,İstanbul/Çekmeköy/KirazlıdereMh.,80,65,1+1,0,YüksekGiriş,6,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,50,1.000,EmlakOfisinden,1000
922882783,İstanbul/Esenyurt/GökevlerMh.,96,67,2+1,2,10,30veüzeri,Merkezi(PayÖlçer),2,Yok,Hayır,Boş,Evet,270,Belirtilmemiş,EmlakOfisinden,2200
